Location,Price (RM),Bathrooms,Car Parks,Type,Size,Furnishing,Bedrooms,Store,Size_Encoded
43,2440000,2,1,83,1023,0,1,0,570
24,5000000,3,4,46,7700,1,3,1,3209
78,7300000,6,6,46,7300,1,6,0,3157
43,3200000,2,1,82,1572,4,2,0,1090
54,1850000,4,2,61,1830,1,4,1,1294
42,783990,1,1,82,650,1,1,0,206
37,495000,1,0,86,560,0,1,0,129
20,569200,2,2,82,888,2,1,1,437
91,1150000,2,1,58,1560,1,3,0,1080
16,425000,2,1,61,1087,1,4,0,635
10,10000000,7,5,58,6913,1,5,1,3090
54,1800000,4,2,58,2243,1,3,1,1564
10,6670000,6,0,57,4771,1,4,1,2652
36,580000,2,1,58,1590,1,3,0,1105
54,618000,1,1,86,650,0,1,0,206
54,1518000,3,3,58,2648,1,3,1,1781
54,2220000,4,3,57,2973,1,4,1,1927
43,3600000,4,2,83,3897,0,4,0,2350
91,3100000,4,3,75,3600,1,4,1,2219
10,4900000,4,4,49,11676,1,7,0,3614
54,1950000,4,3,57,2535,0,3,1,1726
27,3200000,4,0,20,4300,1,4,1,2495
43,3600000,4,2,83,3897,1,3,1,2350
81,600000,2,2,86,1025,1,2,1,572
22,4130000,5,2,58,3713,1,4,1,2278
42,2300000,4,2,82,1873,4,3,1,1325
42,5149700,5,0,82,2982,4,4,1,1932
42,5129000,4,0,82,3143,4,4,1,2013
43,1780000,3,2,57,1232,0,3,0,777
16,900000,3,3,58,1513,1,4,1,1040
16,597000,2,2,57,1550,4,4,0,1070
10,6380000,5,3,58,4025,1,3,1,2400
10,6900000,6,3,58,4945,1,4,1,2691
35,660000,2,2,58,992,1,3,0,539
43,3125000,2,2,86,1421,1,1,1,957
43,2480000,1,1,86,1023,1,1,0,570
24,4000000,5,2,79,3700,1,4,1,2271
43,1050000,4,2,83,1313,1,3,1,853
43,1833000,1,1,82,925,0,1,0,474
43,2999000,3,3,85,2066,0,3,1,1460
16,638000,1,1,86,721,1,1,1,275
10,6842500,5,4,57,4025,1,3,1,2400
10,8476050,5,4,57,5137,1,4,1,2723
24,14000000,6,0,45,9124,1,6,1,3408
54,1415000,4,2,57,1496,1,3,1,1024
24,12800000,5,0,45,14380,1,6,0,3719
19,6900000,5,0,45,12000,1,4,2,3630
43,1380000,4,2,83,1701,0,3,1,1202
43,2800000,2,0,82,1103,0,2,0,651
